start_time,end_time,activity
2011-11-28 02:27:59.000000000,2011-11-28 10:18:11.000000000,Sleeping
2011-11-28 10:21:24.000000000,2011-11-28 10:23:36.000000000,Toileting
2011-11-28 10:25:44.000000000,2011-11-28 10:32:12.877373400,Showering
2011-11-28 10:34:23.000000000,2011-11-28 10:43:00.000000000,Breakfast
2011-11-28 10:49:48.000000000,2011-11-28 10:51:13.000000000,Grooming
2011-11-28 10:51:41.000000000,2011-11-28 13:05:07.000000000,Spare_Time/TV
2011-11-28 13:06:04.000000000,2011-11-28 13:06:31.000000000,Toileting
2011-11-28 13:09:31.000000000,2011-11-28 13:29:09.000000000,Leaving
2011-11-28 13:38:40.000000000,2011-11-28 14:21:40.000000000,Spare_Time/TV
2011-11-28 14:22:38.000000000,2011-11-28 14:27:07.000000000,Toileting
2011-11-28 14:27:11.000000000,2011-11-28 15:04:00.000000000,Lunch
2011-11-28 15:04:59.000000000,2011-11-28 15:06:29.000000000,Grooming
2011-11-28 15:07:01.000000000,2011-11-28 20:20:00.000000000,Spare_Time/TV
2011-11-28 20:20:55.000000000,2011-11-28 20:20:59.000000000,Snack
2011-11-28 20:21:15.000000000,2011-11-29 02:06:00.000000000,Spare_Time/TV
2011-11-29 02:16:00.000000000,2011-11-29 11:31:00.000000000,Sleeping
2011-11-29 11:31:55.000000000,2011-11-29 11:37:32.756100000,Toileting
2011-11-29 11:37:38.000000000,2011-11-29 11:48:54.000000000,Grooming
2011-11-29 11:49:57.000000000,2011-11-29 11:51:13.000000000,Showering
2011-11-29 12:08:28.000000000,2011-11-29 12:18:00.000000000,Breakfast
2011-11-29 12:19:01.000000000,2011-11-29 12:22:00.000000000,Grooming
2011-11-29 12:22:38.000000000,2011-11-29 13:25:15.371700000,Spare_Time/TV
2011-11-29 13:25:29.000000000,2011-11-29 13:25:36.493850000,Snack
2011-11-29 13:25:38.000000000,2011-11-29 15:12:26.000000000,Spare_Time/TV
2011-11-29 15:13:09.091021700,2011-11-29 15:13:57.000000000,Toileting
2011-11-29 15:14:33.000000000,2011-11-29 15:45:54.000000000,Lunch
2011-11-29 15:49:51.000000000,2011-11-29 15:50:54.000000000,Grooming
2011-11-29 15:52:04.000000000,2011-11-29 16:17:58.000000000,Spare_Time/TV
2011-11-29 16:18:00.000000000,2011-11-29 16:31:27.000000000,Toileting
2011-11-29 16:34:17.000000000,2011-11-29 17:08:07.000000000,Spare_Time/TV
2011-11-29 17:08:58.000000000,2011-11-29 17:09:29.000000000,Toileting
2011-11-29 17:43:00.000000000,2011-11-29 18:57:22.000000000,Spare_Time/TV
2011-11-29 19:02:15.000000000,2011-11-29 20:23:38.000000000,Leaving
2011-11-29 20:28:00.000000000,2011-11-30 01:19:47.000000000,Spare_Time/TV
2011-11-30 01:22:33.000000000,2011-11-30 10:07:31.000000000,Sleeping
2011-11-30 10:11:07.000000000,2011-11-30 10:14:37.392878400,Toileting
2011-11-30 10:14:45.000000000,2011-11-30 10:18:33.000000000,Showering
2011-11-30 10:22:59.000000000,2011-11-30 10:35:00.000000000,Breakfast
2011-11-30 10:39:30.000000000,2011-11-30 10:41:13.000000000,Grooming
2011-11-30 10:41:38.000000000,2011-11-30 13:04:59.000000000,Spare_Time/TV
2011-11-30 13:05:27.000000000,2011-11-30 13:05:31.000000000,Snack
2011-11-30 13:05:38.000000000,2011-11-30 14:09:34.000000000,Spare_Time/TV
2011-11-30 14:10:23.624283999,2011-11-30 14:11:48.000000000,Toileting
2011-11-30 14:13:45.000000000,2011-11-30 14:34:09.000000000,Spare_Time/TV
2011-11-30 14:39:42.000000000,2011-11-30 15:00:24.000000000,Lunch
2011-11-30 15:11:48.000000000,2011-11-30 16:39:11.000000000,Spare_Time/TV
2011-11-30 16:40:01.000000000,2011-11-30 16:40:24.000000000,Toileting
2011-11-30 16:41:05.000000000,2011-11-30 16:41:09.000000000,Snack
2011-11-30 16:41:15.000000000,2011-11-30 18:00:38.000000000,Spare_Time/TV
2011-11-30 18:01:39.036641000,2011-11-30 18:01:46.082940400,Toileting
2011-11-30 18:01:54.000000000,2011-11-30 18:43:20.000000000,Spare_Time/TV
2011-11-30 18:56:46.977020999,2011-11-30 18:57:34.000000000,Toileting
2011-11-30 18:57:39.000000000,2011-11-30 19:37:10.000000000,Spare_Time/TV
2011-11-30 19:37:20.371340000,2011-11-30 19:38:01.000000000,Toileting
2011-11-30 19:46:44.000000000,2011-11-30 20:05:12.000000000,Leaving
2011-11-30 20:13:39.000000000,2011-11-30 20:13:48.000000000,Grooming
2011-11-30 20:14:03.000000000,2011-12-01 01:34:27.000000000,Spare_Time/TV
2011-12-01 01:37:52.000000000,2011-12-01 10:50:45.000000000,Sleeping
2011-12-01 10:55:03.000000000,2011-12-01 10:55:32.000000000,Grooming
2011-12-01 10:58:37.000000000,2011-12-01 11:12:22.000000000,Showering
2011-12-01 11:17:05.000000000,2011-12-01 11:29:49.000000000,Breakfast
2011-12-01 11:30:06.000000000,2011-12-01 14:29:02.000000000,Spare_Time/TV
2011-12-01 14:29:37.000000000,2011-12-01 14:55:02.000000000,Lunch
2011-12-01 15:09:00.000000000,2011-12-01 16:26:17.000000000,Spare_Time/TV
2011-12-01 16:26:24.301848500,2011-12-01 16:27:03.000000000,Toileting
2011-12-01 16:27:04.100000000,2011-12-01 16:46:40.000000000,Spare_Time/TV
2011-12-01 17:17:23.000000000,2011-12-01 17:27:13.000000000,Grooming
2011-12-01 17:29:29.000000000,2011-12-01 18:49:51.000000000,Leaving
2011-12-01 18:55:03.000000000,2011-12-01 19:10:34.000000000,Spare_Time/TV
2011-12-01 19:27:52.079036800,2011-12-01 19:29:59.000000000,Toileting
2011-12-01 19:30:01.000000000,2011-12-01 23:52:52.000000000,Spare_Time/TV
2011-12-01 23:53:00.000000000,2011-12-01 23:53:28.000000000,Grooming
2011-12-01 23:54:32.000000000,2011-12-02 01:18:32.000000000,Spare_Time/TV
2011-12-02 01:18:44.000000000,2011-12-02 01:18:57.000000000,Grooming
