time,device,value
2011-11-28 02:27:59.000,Bedroom Bed Pressure,True
2011-11-28 10:18:11.000,Bedroom Bed Pressure,False
2011-11-28 10:21:24.000,Bathroom Cabinet Magnetic,True
2011-11-28 10:21:31.000,Bathroom Cabinet Magnetic,False
2011-11-28 10:21:44.000,Bathroom Basin PIR,True
2011-11-28 10:23:02.000,Bathroom Toilet Flush,True
2011-11-28 10:23:31.000,Bathroom Basin PIR,False
2011-11-28 10:23:36.000,Bathroom Toilet Flush,False
2011-11-28 10:25:44.000,Bathroom Shower PIR,True
2011-11-28 10:32:06.000,Bathroom Shower PIR,False
2011-11-28 10:34:23.000,Kitchen Fridge Magnetic,True
2011-11-28 10:34:41.000,Kitchen Fridge Magnetic,False
2011-11-28 10:34:44.000,Kitchen Cupboard Magnetic,True
2011-11-28 10:37:17.000,Kitchen Cupboard Magnetic,False
2011-11-28 10:38:00.000,Kitchen Toaster Electric,True
2011-11-28 10:38:33.000,Kitchen Fridge Magnetic,True
2011-11-28 10:38:40.000,Kitchen Fridge Magnetic,False
2011-11-28 10:41:29.000,Kitchen Cupboard Magnetic,True
2011-11-28 10:41:36.000,Kitchen Cupboard Magnetic,False
2011-11-28 10:41:43.000,Kitchen Cooktop PIR,True
2011-11-28 10:41:59.000,Kitchen Microwave Electric,True
2011-11-28 10:41:59.010,Kitchen Cooktop PIR,False
2011-11-28 10:42:41.000,Kitchen Toaster Electric,False
2011-11-28 10:42:55.000,Kitchen Microwave Electric,False
2011-11-28 10:49:48.000,Bathroom Basin PIR,True
2011-11-28 10:51:13.000,Bathroom Basin PIR,False
2011-11-28 10:51:41.000,Living Seat Pressure,True
2011-11-28 13:05:07.000,Living Seat Pressure,False
2011-11-28 13:06:04.000,Bathroom Basin PIR,True
2011-11-28 13:06:06.000,Bathroom Basin PIR,False
2011-11-28 13:06:07.000,Bathroom Toilet Flush,True
2011-11-28 13:06:31.000,Bathroom Toilet Flush,False
2011-11-28 13:09:31.000,Entrance Maindoor Magnetic,True
2011-11-28 13:09:35.000,Entrance Maindoor Magnetic,False
2011-11-28 13:28:59.000,Entrance Maindoor Magnetic,True
2011-11-28 13:29:09.000,Entrance Maindoor Magnetic,False
2011-11-28 13:33:32.000,Kitchen Fridge Magnetic,True
2011-11-28 13:38:23.000,Kitchen Fridge Magnetic,False
2011-11-28 13:38:40.000,Living Seat Pressure,True
2011-11-28 14:21:40.000,Living Seat Pressure,False
2011-11-28 14:26:38.000,Bathroom Toilet Flush,True
2011-11-28 14:27:07.000,Bathroom Toilet Flush,False
2011-11-28 14:27:11.000,Kitchen Fridge Magnetic,True
2011-11-28 14:28:46.000,Kitchen Fridge Magnetic,False
2011-11-28 14:28:48.000,Kitchen Cupboard Magnetic,True
2011-11-28 14:28:55.000,Kitchen Cupboard Magnetic,False
2011-11-28 14:31:06.000,Kitchen Cooktop PIR,True
2011-11-28 14:31:44.000,Kitchen Cupboard Magnetic,True
2011-11-28 14:31:56.000,Kitchen Cupboard Magnetic,False
2011-11-28 14:35:22.000,Kitchen Fridge Magnetic,True
2011-11-28 14:35:27.000,Kitchen Fridge Magnetic,False
2011-11-28 14:41:54.000,Kitchen Cooktop PIR,False
2011-11-28 15:04:59.000,Bathroom Basin PIR,True
2011-11-28 15:06:29.000,Bathroom Basin PIR,False
2011-11-28 15:07:01.000,Living Seat Pressure,True
2011-11-28 16:09:57.000,Living Seat Pressure,False
2011-11-28 16:10:38.000,Living Seat Pressure,True
2011-11-28 20:19:27.000,Living Seat Pressure,False
2011-11-28 20:20:55.000,Kitchen Fridge Magnetic,True
2011-11-28 20:20:59.000,Kitchen Fridge Magnetic,False
2011-11-28 20:21:15.000,Living Seat Pressure,True
2011-11-29 02:06:51.000,Living Seat Pressure,False
2011-11-29 02:16:05.000,Bedroom Bed Pressure,True
2011-11-29 11:31:04.000,Bedroom Bed Pressure,False
2011-11-29 11:37:16.000,Bathroom Toilet Flush,True
2011-11-29 11:37:27.000,Bathroom Toilet Flush,False
2011-11-29 11:37:38.000,Bathroom Basin PIR,True
2011-11-29 11:38:16.000,Bathroom Cabinet Magnetic,True
2011-11-29 11:38:37.000,Bathroom Cabinet Magnetic,False
2011-11-29 11:48:29.000,Bathroom Basin PIR,False
2011-11-29 11:48:52.000,Bathroom Cabinet Magnetic,True
2011-11-29 11:48:54.000,Bathroom Cabinet Magnetic,False
2011-11-29 11:49:57.000,Bathroom Shower PIR,True
2011-11-29 11:51:13.000,Bathroom Shower PIR,False
2011-11-29 12:08:28.000,Kitchen Cupboard Magnetic,True
2011-11-29 12:09:09.000,Kitchen Toaster Electric,True
2011-11-29 12:09:21.000,Kitchen Cupboard Magnetic,False
2011-11-29 12:09:24.000,Kitchen Fridge Magnetic,True
2011-11-29 12:09:37.000,Kitchen Fridge Magnetic,False
2011-11-29 12:09:42.000,Kitchen Microwave Electric,True
2011-11-29 12:10:37.000,Kitchen Microwave Electric,False
2011-11-29 12:13:02.000,Kitchen Toaster Electric,False
2011-11-29 12:19:16.000,Bathroom Cabinet Magnetic,True
2011-11-29 12:19:19.000,Bathroom Cabinet Magnetic,False
2011-11-29 12:19:24.000,Bathroom Basin PIR,True
2011-11-29 12:21:11.000,Bathroom Basin PIR,False
2011-11-29 12:21:56.000,Bathroom Toilet Flush,True
2011-11-29 12:21:58.000,Bathroom Toilet Flush,False
2011-11-29 12:22:38.000,Living Seat Pressure,True
2011-11-29 13:25:15.000,Living Seat Pressure,False
2011-11-29 13:25:29.000,Kitchen Fridge Magnetic,True
2011-11-29 13:25:32.000,Kitchen Fridge Magnetic,False
2011-11-29 13:25:38.000,Living Seat Pressure,True
2011-11-29 15:12:26.000,Living Seat Pressure,False
2011-11-29 15:13:28.000,Bathroom Toilet Flush,True
2011-11-29 15:13:32.000,Bathroom Basin PIR,True
2011-11-29 15:13:34.000,Bathroom Basin PIR,False
2011-11-29 15:13:57.000,Bathroom Toilet Flush,False
2011-11-29 15:14:33.000,Kitchen Cupboard Magnetic,True
2011-11-29 15:15:09.000,Kitchen Cupboard Magnetic,False
2011-11-29 15:15:14.000,Kitchen Cooktop PIR,True
2011-11-29 15:15:17.000,Kitchen Microwave Electric,True
2011-11-29 15:15:27.000,Kitchen Cupboard Magnetic,True
2011-11-29 15:16:39.000,Kitchen Cupboard Magnetic,False
2011-11-29 15:22:57.000,Kitchen Microwave Electric,False
2011-11-29 15:24:13.000,Kitchen Fridge Magnetic,True
2011-11-29 15:24:39.000,Kitchen Cupboard Magnetic,True
2011-11-29 15:24:41.000,Kitchen Fridge Magnetic,False
2011-11-29 15:24:45.000,Kitchen Cupboard Magnetic,False
2011-11-29 15:36:26.000,Kitchen Cooktop PIR,False
2011-11-29 15:45:49.000,Kitchen Fridge Magnetic,True
2011-11-29 15:45:54.000,Kitchen Fridge Magnetic,False
2011-11-29 15:49:51.000,Bathroom Basin PIR,True
2011-11-29 15:50:54.000,Bathroom Basin PIR,False
2011-11-29 15:52:04.000,Living Seat Pressure,True
2011-11-29 16:17:58.000,Living Seat Pressure,False
2011-11-29 16:31:16.000,Bathroom Toilet Flush,True
2011-11-29 16:31:27.000,Bathroom Toilet Flush,False
2011-11-29 16:32:20.000,Kitchen Cupboard Magnetic,True
2011-11-29 16:32:23.000,Kitchen Cupboard Magnetic,False
2011-11-29 16:34:17.000,Living Seat Pressure,True
2011-11-29 17:08:07.000,Living Seat Pressure,False
2011-11-29 17:08:58.000,Bathroom Basin PIR,True
2011-11-29 17:09:00.000,Bathroom Basin PIR,False
2011-11-29 17:09:04.000,Bathroom Toilet Flush,True
2011-11-29 17:09:09.000,Living Seat Pressure,True
2011-11-29 17:09:29.000,Bathroom Toilet Flush,False
2011-11-29 18:57:22.000,Living Seat Pressure,False
2011-11-29 19:02:15.000,Entrance Maindoor Magnetic,True
2011-11-29 19:02:21.000,Entrance Maindoor Magnetic,False
2011-11-29 20:23:32.000,Entrance Maindoor Magnetic,True
2011-11-29 20:23:38.000,Entrance Maindoor Magnetic,False
2011-11-29 20:28:08.000,Living Seat Pressure,True
2011-11-30 01:19:47.000,Living Seat Pressure,False
2011-11-30 01:22:33.000,Bedroom Bed Pressure,True
2011-11-30 10:07:31.000,Bedroom Bed Pressure,False
2011-11-30 10:14:07.000,Bathroom Toilet Flush,True
2011-11-30 10:14:34.000,Bathroom Toilet Flush,False
2011-11-30 10:14:45.000,Bathroom Shower PIR,True
2011-11-30 10:18:33.000,Bathroom Shower PIR,False
2011-11-30 10:23:02.000,Kitchen Cupboard Magnetic,True
2011-11-30 10:23:17.000,Kitchen Cupboard Magnetic,False
2011-11-30 10:23:21.000,Kitchen Fridge Magnetic,True
2011-11-30 10:23:36.000,Kitchen Fridge Magnetic,False
2011-11-30 10:23:46.000,Kitchen Microwave Electric,True
2011-11-30 10:24:10.000,Kitchen Toaster Electric,True
2011-11-30 10:27:58.000,Kitchen Toaster Electric,False
2011-11-30 10:28:38.000,Kitchen Microwave Electric,False
2011-11-30 10:39:30.000,Bathroom Basin PIR,True
2011-11-30 10:39:42.000,Bathroom Cabinet Magnetic,True
2011-11-30 10:39:45.000,Bathroom Cabinet Magnetic,False
2011-11-30 10:41:13.000,Bathroom Basin PIR,False
2011-11-30 10:41:38.000,Living Seat Pressure,True
2011-11-30 13:05:01.000,Living Seat Pressure,False
2011-11-30 13:05:27.000,Kitchen Fridge Magnetic,True
2011-11-30 13:05:31.000,Kitchen Fridge Magnetic,False
2011-11-30 13:05:38.000,Living Seat Pressure,True
2011-11-30 14:09:34.000,Living Seat Pressure,False
2011-11-30 14:11:16.000,Bathroom Toilet Flush,True
2011-11-30 14:11:22.000,Bathroom Basin PIR,True
2011-11-30 14:11:24.000,Bathroom Basin PIR,False
2011-11-30 14:11:48.000,Bathroom Toilet Flush,False
2011-11-30 14:13:45.000,Living Seat Pressure,True
2011-11-30 14:34:09.000,Living Seat Pressure,False
2011-11-30 14:39:42.000,Kitchen Cooktop PIR,True
2011-11-30 14:40:14.000,Kitchen Cupboard Magnetic,True
2011-11-30 14:40:24.000,Kitchen Cupboard Magnetic,False
2011-11-30 14:41:57.000,Kitchen Fridge Magnetic,True
2011-11-30 14:42:12.000,Kitchen Fridge Magnetic,False
2011-11-30 14:46:46.000,Kitchen Fridge Magnetic,True
2011-11-30 14:46:50.000,Kitchen Fridge Magnetic,False
2011-11-30 14:50:19.000,Kitchen Fridge Magnetic,True
2011-11-30 14:50:33.000,Kitchen Fridge Magnetic,False
2011-11-30 14:55:24.000,Kitchen Cooktop PIR,False
2011-11-30 15:11:48.000,Living Seat Pressure,True
2011-11-30 16:39:11.000,Living Seat Pressure,False
2011-11-30 16:40:00.000,Bathroom Toilet Flush,True
2011-11-30 16:40:04.000,Bathroom Basin PIR,True
2011-11-30 16:40:09.000,Bathroom Basin PIR,False
2011-11-30 16:40:24.000,Bathroom Toilet Flush,False
2011-11-30 16:41:05.000,Kitchen Fridge Magnetic,True
2011-11-30 16:41:09.000,Kitchen Fridge Magnetic,False
2011-11-30 16:41:15.000,Living Seat Pressure,True
2011-11-30 18:00:38.000,Living Seat Pressure,False
2011-11-30 18:01:44.000,Bathroom Basin PIR,True
