start_time,end_time,activity
2012-11-11 21:14:00.000000,2012-11-12 00:22:59,Spare_Time/TV
2012-11-12 00:24:00.000000,2012-11-12 00:43:59,Spare_Time/TV
2012-11-12 00:48:00.000000,2012-11-12 00:49:59,Grooming
2012-11-12 00:50:00.000000,2012-11-12 01:51:59,Spare_Time/TV
2012-11-12 01:52:00.000000,2012-11-12 01:52:59,Grooming
2012-11-12 01:53:00.000000,2012-11-12 01:53:59,Toileting
2012-11-12 01:54:00.000000,2012-11-12 09:31:59,Sleeping
2012-11-12 09:37:00.000000,2012-11-12 09:38:59,Toileting
2012-11-12 09:42:00.000000,2012-11-12 09:52:59,Breakfast
2012-11-12 09:56:00.000000,2012-11-12 10:15:59,Spare_Time/TV
2012-11-12 10:18:00.000000,2012-11-12 10:20:59,Grooming
2012-11-12 10:21:00.000000,2012-11-12 10:29:59,Showering
2012-11-12 10:33:00.000000,2012-11-12 10:34:59,Grooming
2012-11-12 10:35:00.000000,2012-11-12 10:35:59,Toileting
2012-11-12 10:36:00.000000,2012-11-12 10:40:59,Grooming
2012-11-12 10:42:00.000000,2012-11-12 10:42:59,Grooming
2012-11-12 10:47:00.000000,2012-11-12 11:04:59,Spare_Time/TV
2012-11-12 11:05:00.000000,2012-11-12 11:20:59,Snack
2012-11-12 11:37:00.000000,2012-11-12 11:47:59,Snack
2012-11-12 12:41:00.000000,2012-11-12 12:42:59,Toileting
2012-11-12 12:52:58.000000,2012-11-12 12:55:59,Toileting
2012-11-12 13:00:00.000000,2012-11-12 13:07:59,Grooming
2012-11-12 13:12:00.000000,2012-11-12 13:18:59,Grooming
2012-11-12 13:19:00.000000,2012-11-12 13:32:59,Spare_Time/TV
2012-11-12 13:47:00.000000,2012-11-12 14:53:59,Lunch
2012-11-12 14:54:00.000000,2012-11-12 15:22:59,Spare_Time/TV
2012-11-12 15:23:00.000000,2012-11-12 15:31:53,Snack
2012-11-12 15:38:00.000000,2012-11-12 15:38:59,Toileting
2012-11-12 15:39:00.000000,2012-11-12 15:40:59,Grooming
2012-11-12 15:42:00.000000,2012-11-12 16:11:59,Spare_Time/TV
2012-11-12 16:22:00.000000,2012-11-12 17:08:59,Leaving
2012-11-12 17:10:00.000000,2012-11-12 17:29:59,Spare_Time/TV
2012-11-12 17:43:00.000000,2012-11-12 17:43:59,Toileting
2012-11-12 17:44:00.000000,2012-11-12 17:44:59,Grooming
2012-11-12 17:45:00.000000,2012-11-12 18:46:59,Spare_Time/TV
2012-11-12 18:47:00.000000,2012-11-12 18:56:59,Snack
2012-11-12 19:02:00.000000,2012-11-12 20:57:59,Spare_Time/TV
2012-11-12 21:06:00.000000,2012-11-12 21:11:59,Spare_Time/TV
2012-11-12 21:14:00.000000,2012-11-12 21:15:59,Grooming
2012-11-12 22:35:00.000000,2012-11-12 22:37:59,Dinner
2012-11-12 22:53:00.000000,2012-11-12 22:53:59,Grooming
2012-11-12 22:54:00.000000,2012-11-12 23:34:59,Spare_Time/TV
2012-11-12 23:36:00.000000,2012-11-12 23:37:59,Toileting
2012-11-12 23:46:00.000000,2012-11-13 01:27:00,Spare_Time/TV
2012-11-13 01:29:00.000000,2012-11-13 01:29:59,Grooming
2012-11-13 01:30:00.000000,2012-11-13 08:52:59,Sleeping
2012-11-13 08:56:00.000000,2012-11-13 09:04:59,Breakfast
2012-11-13 09:11:00.000000,2012-11-13 09:11:59,Grooming
2012-11-13 09:14:00.000000,2012-11-13 09:15:59,Toileting
2012-11-13 09:21:00.000000,2012-11-13 09:36:59,Grooming
2012-11-13 09:53:00.000000,2012-11-13 10:11:59,Leaving
2012-11-13 10:14:00.000000,2012-11-13 10:49:59,Snack
2012-11-13 10:52:00.000000,2012-11-13 13:41:59,Leaving
2012-11-13 13:47:00.000000,2012-11-13 13:59:59,Snack
2012-11-13 14:05:00.000000,2012-11-13 14:06:59,Toileting
2012-11-13 14:08:00.000000,2012-11-13 14:42:59,Lunch
2012-11-13 14:43:00.000000,2012-11-13 15:51:59,Spare_Time/TV
2012-11-13 16:07:00.000000,2012-11-13 16:07:59,Toileting
2012-11-13 16:08:00.000000,2012-11-13 16:33:59,Spare_Time/TV
2012-11-13 16:35:00.000000,2012-11-13 17:31:59,Spare_Time/TV
2012-11-13 17:34:00.000000,2012-11-13 17:36:59,Snack
2012-11-13 17:37:00.000000,2012-11-13 18:48:59,Spare_Time/TV
2012-11-13 18:51:00.000000,2012-11-13 19:13:59,Snack
2012-11-13 19:46:00.000000,2012-11-13 19:47:59,Toileting
2012-11-13 19:52:00.000000,2012-11-13 23:16:59,Spare_Time/TV
2012-11-13 23:17:00.000000,2012-11-13 23:22:59,Dinner
2012-11-13 23:39:00.000000,2012-11-13 23:40:59,Grooming
2012-11-13 23:45:00.000000,2012-11-14 00:21:59,Spare_Time/TV
2012-11-14 00:27:00.000000,2012-11-14 00:27:59,Grooming
2012-11-14 00:28:00.000000,2012-11-14 00:29:59,Toileting
2012-11-14 00:29:59.999999,2012-11-14 05:12:59,Sleeping
2012-11-14 05:15:00.000000,2012-11-14 05:15:59,Grooming
2012-11-14 05:16:00.000000,2012-11-14 09:01:59,Sleeping
2012-11-14 09:04:00.000000,2012-11-14 09:05:59,Toileting
2012-11-14 09:06:00.000000,2012-11-14 09:17:59,Breakfast
2012-11-14 09:22:00.000000,2012-11-14 10:37:59,Spare_Time/TV
2012-11-14 10:38:00.000000,2012-11-14 11:01:59,Breakfast
2012-11-14 11:07:00.000000,2012-11-14 11:35:59,Spare_Time/TV
2012-11-14 11:47:00.000000,2012-11-14 11:52:59,Grooming
2012-11-14 11:56:00.000000,2012-11-14 11:58:59,Showering
2012-11-14 12:00:00.000000,2012-11-14 12:08:59,Grooming
2012-11-14 12:21:00.000000,2012-11-14 12:22:59,Grooming
2012-11-14 12:29:00.000000,2012-11-14 12:52:00,Spare_Time/TV
2012-11-14 12:52:00.000100,2012-11-14 12:54:59,Leaving
2012-11-14 12:57:00.000000,2012-11-14 14:22:59,Leaving
2012-11-14 14:23:00.000000,2012-11-14 14:23:59,Toileting
2012-11-14 14:24:00.000000,2012-11-14 14:24:59,Grooming
2012-11-14 14:29:00.000000,2012-11-14 15:49:59,Leaving
2012-11-14 15:58:00.000000,2012-11-14 19:48:59,Spare_Time/TV
2012-11-14 20:11:00.000000,2012-11-14 21:37:59,Spare_Time/TV
2012-11-14 21:37:59.001000,2012-11-14 21:47:59,Dinner
2012-11-14 21:48:00.000000,2012-11-14 22:14:59,Spare_Time/TV
2012-11-14 22:14:59.001000,2012-11-14 22:17:59,Snack
2012-11-14 22:18:00.000000,2012-11-14 23:06:59,Spare_Time/TV
2012-11-14 23:12:00.000000,2012-11-15 00:06:59,Spare_Time/TV
2012-11-15 00:07:00.000000,2012-11-15 00:07:59,Grooming
2012-11-15 00:09:00.000000,2012-11-15 00:09:59,Toileting
2012-11-15 00:10:00.000000,2012-11-15 00:10:59,Grooming
