time,device,value
2012-11-11 21:14:21.000,Living Seat Pressure,True
2012-11-12 00:21:49.000,Living Seat Pressure,False
2012-11-12 00:22:57.000,Living Door PIR,True
2012-11-12 00:22:59.000,Living Door PIR,False
2012-11-12 00:23:14.000,Kitchen Door PIR,True
2012-11-12 00:23:17.000,Kitchen Door PIR,False
2012-11-12 00:24:20.000,Kitchen Door PIR,True
2012-11-12 00:24:22.000,Kitchen Door PIR,False
2012-11-12 00:24:42.000,Living Door PIR,True
2012-11-12 00:24:54.000,Living Door PIR,False
2012-11-12 00:25:35.000,Living Seat Pressure,True
2012-11-12 00:42:56.000,Living Seat Pressure,False
2012-11-12 00:43:46.000,Living Door PIR,True
2012-11-12 00:43:49.000,Living Door PIR,False
2012-11-12 00:46:12.000,Bedroom Door PIR,True
2012-11-12 00:46:15.000,Bedroom Door PIR,False
2012-11-12 00:47:21.000,Bedroom Door PIR,True
2012-11-12 00:47:24.000,Bedroom Door PIR,False
2012-11-12 00:48:38.000,Bathroom Basin PIR,True
2012-11-12 00:50:12.000,Bathroom Basin PIR,False
2012-11-12 00:50:29.000,Living Door PIR,True
2012-11-12 00:50:32.000,Living Door PIR,False
2012-11-12 00:51:18.000,Living Seat Pressure,True
2012-11-12 01:52:12.000,Living Seat Pressure,False
2012-11-12 01:53:19.000,Living Door PIR,True
2012-11-12 01:53:22.000,Living Door PIR,False
2012-11-12 01:53:27.000,Bathroom Basin PIR,True
2012-11-12 01:53:35.000,Bathroom Basin PIR,False
2012-11-12 01:53:39.000,Bathroom Toilet Flush,True
2012-11-12 01:53:53.000,Bedroom Door PIR,True
2012-11-12 01:53:57.000,Bedroom Door PIR,False
2012-11-12 01:54:27.000,Bathroom Toilet Flush,False
2012-11-12 01:55:09.000,Bedroom Bed Pressure,True
2012-11-12 09:30:35.000,Bedroom Bed Pressure,False
2012-11-12 09:31:16.000,Bedroom Door PIR,True
2012-11-12 09:31:19.000,Bedroom Door PIR,False
2012-11-12 09:37:28.000,Bathroom Toilet Flush,True
2012-11-12 09:38:45.000,Bathroom Toilet Flush,False
2012-11-12 09:40:17.000,Living Door PIR,True
2012-11-12 09:40:22.000,Living Door PIR,False
