Start time: Time sensor started firing
End time: Time sensor stopped firing
ID: sensor id (see list below)
val: value of sensor (always 1)

Sensor IDs are: 
    [ 1]    'Microwave'         
    [ 5]    'Hall-Toilet door'  
    [ 6]    'Hall-Bathroom door'
    [ 7]    'Cups cupboard'     
    [ 8]    'Fridge'            
    [ 9]    'Plates cupboard'   
    [12]    'Frontdoor'         
    [13]    'Dishwasher'        
    [14]    'ToiletFlush'       
    [17]    'Freezer'           
    [18]    'Pans Cupboard'     
    [20]    'Washingmachine'    
    [23]    'Groceries Cupboard'
    [24]    'Hall-Bedroom door' 

Start time          	End time            	ID	Val
--------------------	--------------------	--	---
25-Feb-2008 00:20:14	25-Feb-2008 00:22:57	24	1
25-Feb-2008 09:33:41	25-Feb-2008 09:33:42	24	1
25-Feb-2008 09:33:47	25-Feb-2008 17:21:12	24	1
25-Feb-2008 09:36:43	25-Feb-2008 09:37:04	5	1
25-Feb-2008 09:37:20	25-Feb-2008 09:37:23	6	1
25-Feb-2008 09:37:51	25-Feb-2008 09:37:52	14	1
25-Feb-2008 09:37:55	25-Feb-2008 09:37:56	14	1
25-Feb-2008 09:37:58	25-Feb-2008 09:38:01	6	1
25-Feb-2008 09:49:27	25-Feb-2008 09:49:28	9	1
25-Feb-2008 09:49:31	25-Feb-2008 09:49:38	9	1
25-Feb-2008 09:49:39	25-Feb-2008 09:49:44	8	1
25-Feb-2008 09:49:53	25-Feb-2008 09:49:56	8	1
25-Feb-2008 09:49:58	25-Feb-2008 09:50:04	1	1
25-Feb-2008 09:50:39	25-Feb-2008 09:50:42	23	1
25-Feb-2008 09:52:11	25-Feb-2008 09:53:21	1	1
25-Feb-2008 09:53:22	25-Feb-2008 09:53:25	23	1
25-Feb-2008 09:57:24	25-Feb-2008 10:01:27	13	1
25-Feb-2008 09:57:45	25-Feb-2008 09:58:29	9	1
25-Feb-2008 09:58:33	25-Feb-2008 09:58:34	18	1
25-Feb-2008 09:59:17	25-Feb-2008 09:59:18	7	1
25-Feb-2008 10:00:00	25-Feb-2008 10:00:04	9	1
25-Feb-2008 10:02:31	25-Feb-2008 10:02:54	5	1
25-Feb-2008 10:10:15	25-Feb-2008 10:10:16	5	1
25-Feb-2008 10:10:20	25-Feb-2008 17:00:28	5	1
25-Feb-2008 10:19:28	25-Feb-2008 10:19:32	12	1
25-Feb-2008 16:54:37	25-Feb-2008 16:54:41	12	1
25-Feb-2008 16:59:04	25-Feb-2008 16:59:11	8	1
25-Feb-2008 16:59:14	25-Feb-2008 16:59:42	23	1
25-Feb-2008 16:59:48	25-Feb-2008 16:59:51	8	1
25-Feb-2008 17:00:33	25-Feb-2008 17:00:37	6	1
25-Feb-2008 17:01:22	25-Feb-2008 17:01:23	14	1
25-Feb-2008 17:01:28	25-Feb-2008 17:01:32	6	1
25-Feb-2008 17:17:39	25-Feb-2008 17:17:40	18	1
25-Feb-2008 17:17:43	25-Feb-2008 17:17:44	18	1
25-Feb-2008 17:17:49	25-Feb-2008 17:17:50	18	1
25-Feb-2008 17:19:38	25-Feb-2008 17:19:44	12	1
25-Feb-2008 17:22:48	25-Feb-2008 17:22:49	18	1
25-Feb-2008 17:55:01	25-Feb-2008 17:55:02	8	1
25-Feb-2008 17:55:06	25-Feb-2008 17:55:17	8	1
25-Feb-2008 17:55:08	25-Feb-2008 17:55:11	7	1
25-Feb-2008 17:55:12	25-Feb-2008 17:55:13	7	1
25-Feb-2008 17:55:15	25-Feb-2008 17:55:16	7	1
25-Feb-2008 17:55:27	25-Feb-2008 17:55:29	8	1
25-Feb-2008 17:55:42	25-Feb-2008 17:55:46	8	1
25-Feb-2008 18:31:58	25-Feb-2008 18:32:02	6	1
25-Feb-2008 18:32:08	25-Feb-2008 18:32:09	6	1
25-Feb-2008 18:33:05	25-Feb-2008 18:33:06	14	1
25-Feb-2008 18:33:33	25-Feb-2008 18:33:35	6	1
25-Feb-2008 19:21:34	25-Feb-2008 19:21:35	24	1
25-Feb-2008 19:21:39	25-Feb-2008 19:21:49	24	1
25-Feb-2008 19:36:17	25-Feb-2008 19:36:18	7	1
25-Feb-2008 19:40:27	25-Feb-2008 19:40:46	23	1
25-Feb-2008 19:40:47	25-Feb-2008 19:40:59	8	1
25-Feb-2008 19:41:00	25-Feb-2008 19:41:01	8	1
25-Feb-2008 19:41:03	25-Feb-2008 19:41:04	8	1
25-Feb-2008 19:41:09	25-Feb-2008 19:41:10	8	1
25-Feb-2008 19:41:23	25-Feb-2008 19:41:41	8	1
25-Feb-2008 19:41:42	25-Feb-2008 19:43:04	23	1
25-Feb-2008 19:47:03	25-Feb-2008 19:47:06	8	1
25-Feb-2008 19:54:10	25-Feb-2008 19:54:14	9	1
25-Feb-2008 19:56:00	25-Feb-2008 19:56:01	18	1
25-Feb-2008 19:56:03	25-Feb-2008 23:11:38	18	1
25-Feb-2008 19:56:20	25-Feb-2008 19:56:21	7	1
25-Feb-2008 19:56:25	25-Feb-2008 19:56:31	7	1
25-Feb-2008 19:57:19	25-Feb-2008 19:57:35	17	1
25-Feb-2008 20:00:33	25-Feb-2008 20:00:36	8	1
25-Feb-2008 20:00:50	25-Feb-2008 20:00:52	8	1
25-Feb-2008 20:01:46	25-Feb-2008 20:01:49	8	1
25-Feb-2008 20:01:56	25-Feb-2008 20:01:58	9	1
25-Feb-2008 20:04:20	25-Feb-2008 20:04:21	1	1
25-Feb-2008 20:04:46	25-Feb-2008 20:10:43	1	1
25-Feb-2008 20:10:44	25-Feb-2008 20:10:45	8	1
25-Feb-2008 20:18:03	25-Feb-2008 20:18:04	8	1
25-Feb-2008 20:19:49	25-Feb-2008 20:19:57	9	1
25-Feb-2008 20:20:29	25-Feb-2008 20:20:33	8	1
25-Feb-2008 20:23:14	25-Feb-2008 20:23:17	8	1
25-Feb-2008 20:23:32	25-Feb-2008 20:23:36	8	1
25-Feb-2008 21:08:49	25-Feb-2008 21:08:50	5	1
25-Feb-2008 21:08:51	25-Feb-2008 21:08:52	5	1
25-Feb-2008 21:45:40	25-Feb-2008 21:45:44	8	1
25-Feb-2008 21:51:32	25-Feb-2008 21:51:33	6	1
25-Feb-2008 21:51:37	25-Feb-2008 21:51:43	6	1
25-Feb-2008 21:52:08	25-Feb-2008 21:52:09	14	1
25-Feb-2008 21:52:29	25-Feb-2008 21:52:31	6	1
25-Feb-2008 21:54:46	25-Feb-2008 21:55:17	12	1
25-Feb-2008 21:55:35	25-Feb-2008 21:55:39	9	1
25-Feb-2008 21:56:02	25-Feb-2008 21:56:04	1	1
25-Feb-2008 21:59:02	25-Feb-2008 21:59:05	1	1
25-Feb-2008 23:05:57	25-Feb-2008 23:05:58	13	1
25-Feb-2008 23:06:02	25-Feb-2008 23:19:05	13	1
25-Feb-2008 23:11:41	25-Feb-2008 23:11:42	18	1
25-Feb-2008 23:19:08	25-Feb-2008 23:19:09	13	1
25-Feb-2008 23:21:24	25-Feb-2008 23:30:56	24	1
25-Feb-2008 23:22:31	25-Feb-2008 23:24:35	5	1
25-Feb-2008 23:28:31	25-Feb-2008 23:28:32	6	1
25-Feb-2008 23:28:36	25-Feb-2008 23:29:12	6	1
25-Feb-2008 23:30:12	25-Feb-2008 23:30:52	5	1
25-Feb-2008 23:31:53	25-Feb-2008 23:32:30	24	1
25-Feb-2008 23:32:33	25-Feb-2008 23:32:34	24	1
26-Feb-2008 00:38:49	26-Feb-2008 00:38:50	24	1
26-Feb-2008 00:38:52	26-Feb-2008 00:38:59	5	1
26-Feb-2008 00:38:53	26-Feb-2008 00:39:41	24	1
26-Feb-2008 00:39:00	26-Feb-2008 00:39:01	5	1
26-Feb-2008 00:39:03	26-Feb-2008 00:39:04	5	1
26-Feb-2008 00:39:09	26-Feb-2008 00:39:10	5	1
26-Feb-2008 00:39:22	26-Feb-2008 00:39:23	5	1
26-Feb-2008 00:39:25	26-Feb-2008 00:39:26	14	1
26-Feb-2008 00:39:46	26-Feb-2008 00:39:47	5	1
26-Feb-2008 00:40:22	26-Feb-2008 00:40:23	5	1
26-Feb-2008 00:40:58	26-Feb-2008 00:40:59	5	1
26-Feb-2008 00:46:22	26-Feb-2008 00:46:23	24	1
26-Feb-2008 00:46:27	26-Feb-2008 03:14:43	24	1
26-Feb-2008 03:13:41	26-Feb-2008 03:13:45	6	1
26-Feb-2008 03:14:36	26-Feb-2008 03:14:37	14	1
26-Feb-2008 03:14:39	26-Feb-2008 03:14:40	6	1
26-Feb-2008 08:35:57	26-Feb-2008 08:35:58	24	1
26-Feb-2008 08:36:00	26-Feb-2008 08:36:04	6	1
26-Feb-2008 08:36:01	26-Feb-2008 08:36:02	24	1
26-Feb-2008 08:36:08	26-Feb-2008 08:36:39	24	1
26-Feb-2008 08:36:33	26-Feb-2008 08:36:37	6	1
26-Feb-2008 09:15:24	26-Feb-2008 09:15:25	24	1
26-Feb-2008 09:15:29	26-Feb-2008 23:02:40	24	1
26-Feb-2008 09:15:40	26-Feb-2008 09:15:44	6	1
26-Feb-2008 09:18:44	26-Feb-2008 09:18:57	6	1
26-Feb-2008 09:18:44	26-Feb-2008 09:18:45	14	1
26-Feb-2008 09:26:45	26-Feb-2008 09:26:49	9	1
26-Feb-2008 09:26:50	26-Feb-2008 09:26:57	23	1
26-Feb-2008 09:27:16	26-Feb-2008 09:27:19	23	1
26-Feb-2008 09:28:32	26-Feb-2008 09:28:34	8	1
26-Feb-2008 09:28:58	26-Feb-2008 09:29:01	8	1
26-Feb-2008 09:48:12	26-Feb-2008 09:48:13	5	1
26-Feb-2008 09:48:16	26-Feb-2008 09:48:23	5	1
26-Feb-2008 09:58:04	26-Feb-2008 09:58:05	5	1
26-Feb-2008 09:58:09	26-Feb-2008 23:01:07	5	1
26-Feb-2008 10:06:18	26-Feb-2008 10:06:23	12	1
26-Feb-2008 20:31:35	26-Feb-2008 20:31:36	12	1
26-Feb-2008 20:31:39	26-Feb-2008 20:31:47	12	1
26-Feb-2008 20:33:41	26-Feb-2008 20:35:06	6	1
26-Feb-2008 21:02:40	26-Feb-2008 21:02:44	6	1
26-Feb-2008 21:03:49	26-Feb-2008 21:03:50	14	1
26-Feb-2008 21:03:52	26-Feb-2008 21:03:55	6	1
26-Feb-2008 21:39:29	26-Feb-2008 21:39:30	8	1
26-Feb-2008 21:39:34	26-Feb-2008 21:39:43	8	1
26-Feb-2008 21:40:00	26-Feb-2008 21:40:01	7	1
26-Feb-2008 21:40:03	26-Feb-2008 21:40:07	8	1
26-Feb-2008 22:10:51	26-Feb-2008 22:10:52	12	1
26-Feb-2008 22:10:55	26-Feb-2008 22:11:16	12	1
26-Feb-2008 22:56:02	26-Feb-2008 22:56:06	6	1
26-Feb-2008 22:57:57	26-Feb-2008 22:57:58	14	1
26-Feb-2008 22:58:28	26-Feb-2008 22:58:31	6	1
26-Feb-2008 22:58:31	26-Feb-2008 22:58:32	6	1
26-Feb-2008 22:58:35	26-Feb-2008 22:58:36	6	1
26-Feb-2008 22:58:41	26-Feb-2008 22:58:42	6	1
26-Feb-2008 22:58:53	26-Feb-2008 22:58:54	6	1
26-Feb-2008 22:59:17	26-Feb-2008 22:59:18	6	1
26-Feb-2008 22:59:54	26-Feb-2008 22:59:55	6	1
26-Feb-2008 23:00:30	26-Feb-2008 23:00:31	6	1
26-Feb-2008 23:01:52	27-Feb-2008 08:16:58	5	1
27-Feb-2008 05:29:23	27-Feb-2008 05:30:24	24	1
27-Feb-2008 05:29:30	27-Feb-2008 05:29:33	6	1
27-Feb-2008 05:30:14	27-Feb-2008 05:30:15	14	1
27-Feb-2008 05:30:16	27-Feb-2008 05:30:22	6	1
27-Feb-2008 08:00:17	27-Feb-2008 08:00:18	24	1
27-Feb-2008 08:00:22	28-Feb-2008 00:16:40	24	1
27-Feb-2008 08:01:25	27-Feb-2008 08:01:29	9	1
27-Feb-2008 08:01:31	27-Feb-2008 08:01:50	23	1
27-Feb-2008 08:01:52	27-Feb-2008 08:01:53	8	1
27-Feb-2008 08:01:57	27-Feb-2008 08:02:08	8	1
27-Feb-2008 08:13:30	27-Feb-2008 08:13:31	6	1
27-Feb-2008 08:13:35	27-Feb-2008 08:14:01	6	1
27-Feb-2008 08:15:37	27-Feb-2008 08:15:38	14	1
27-Feb-2008 08:15:40	27-Feb-2008 08:15:45	6	1
27-Feb-2008 08:26:34	27-Feb-2008 08:26:35	5	1
27-Feb-2008 08:26:38	27-Feb-2008 08:26:39	5	1
27-Feb-2008 08:34:37	27-Feb-2008 08:34:41	12	1
27-Feb-2008 18:58:31	27-Feb-2008 18:58:35	12	1
27-Feb-2008 18:59:56	27-Feb-2008 19:01:31	23	1
27-Feb-2008 19:00:01	27-Feb-2008 19:00:57	8	1
27-Feb-2008 19:02:11	27-Feb-2008 19:02:17	18	1
27-Feb-2008 19:02:26	27-Feb-2008 19:02:29	8	1
27-Feb-2008 19:03:12	27-Feb-2008 19:03:15	17	1
27-Feb-2008 19:05:15	27-Feb-2008 19:05:16	8	1
27-Feb-2008 19:05:39	27-Feb-2008 19:05:40	8	1
27-Feb-2008 19:08:12	27-Feb-2008 19:08:16	8	1
27-Feb-2008 19:09:03	27-Feb-2008 19:09:05	9	1
