        mark         | zone | number | state | level | source  |    info    
---------------------+------+--------+-------+-------+---------+------------
 2005-01-22 00:00:01 | S    |     18 |     1 |   126 | ArgusMS | inhabitant
 2005-01-22 00:00:01 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:03 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:04 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:05 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:05 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:06 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:06 | S    |     18 |     1 |   128 | ArgusMS | inhabitant
 2005-01-22 00:00:06 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:06 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:06 | S    |     18 |     1 |   124 | ArgusMS | inhabitant
 2005-01-22 00:00:07 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:07 | V    |     35 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:08 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:08 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:08 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:09 | V    |     35 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:10 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:11 | S    |     18 |     1 |   128 | ArgusMS | inhabitant
 2005-01-22 00:00:11 | S    |     18 |     1 |   124 | ArgusMS | inhabitant
 2005-01-22 00:00:11 | S    |     19 |     1 |   242 | ArgusMS | inhabitant
 2005-01-22 00:00:13 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:13 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:15 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:16 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:17 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-22 00:00:18 | V    |     35 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:18 | V    |     35 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:19 | S    |     18 |     1 |   123 | ArgusMS | inhabitant
 2005-01-22 00:00:19 | S    |     19 |     1 |   242 | ArgusMS | inhabitant
 2005-01-22 00:00:19 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:19 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-22 00:00:20 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:21 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:22 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:23 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:23 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:23 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:24 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:26 | S    |     18 |     1 |   126 | ArgusMS | inhabitant
 2005-01-22 00:00:28 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:29 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:31 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:32 | V    |     24 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:32 | V    |     35 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:32 | V    |     24 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:33 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:33 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:34 | V    |     35 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:34 | V    |     34 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:34 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:35 | S    |     19 |     1 |   242 | ArgusMS | inhabitant
 2005-01-22 00:00:35 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-22 00:00:37 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:38 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:38 | S    |     18 |     1 |   128 | ArgusMS | inhabitant
 2005-01-22 00:00:38 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:39 | S    |     18 |     1 |   125 | ArgusMS | inhabitant
 2005-01-22 00:00:40 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:40 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:40 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:41 | S    |     18 |     1 |   128 | ArgusMS | inhabitant
 2005-01-22 00:00:42 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:42 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:42 | S    |     18 |     1 |   123 | ArgusMS | inhabitant
 2005-01-22 00:00:42 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:43 | S    |     18 |     1 |   128 | ArgusMS | inhabitant
 2005-01-22 00:00:43 | S    |     19 |     1 |   242 | ArgusMS | inhabitant
 2005-01-22 00:00:43 | S    |     18 |     1 |   127 | ArgusMS | inhabitant
 2005-01-22 00:00:43 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-22 00:00:44 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:45 | S    |     18 |     1 |   122 | ArgusMS | inhabitant
 2005-01-22 00:00:45 | S    |     19 |     1 |   242 | ArgusMS | inhabitant
 2005-01-22 00:00:45 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:46 | V    |     24 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:46 | S    |     18 |     1 |   127 | ArgusMS | inhabitant
 2005-01-22 00:00:47 | V    |     24 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:47 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:50 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:51 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-22 00:00:51 | S    |     18 |     1 |   126 | ArgusMS | inhabitant
 2005-01-22 00:00:52 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:52 | V    |     38 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:53 | V    |     38 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:53 | V    |     29 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:55 | V    |     29 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:55 | V    |     38 |     1 |   100 | ArgusD  | inhabitant
 2005-01-22 00:00:56 | V    |     38 |     0 |     0 | ArgusD  | inhabitant
 2005-01-22 00:00:57 | V    |     34 |     1 |   100 | ArgusD  | inhabitant
